Operation,productTypeName,productUsage,productCode,parentProductCode,productName,localeCode,isActive,price,salePrice,isoCurrencyCode,masterCatalogId,catalogId,categoryId,manageStock,outOfStockBehavior,sizeoption,coloroptions,cost,packageWidth,packageLength,packageHeight,packageWeight,heightUnit,widthUnit,lengthUnit,weightUnit,hasConfigurableOptions,hasStandAloneOptions,fulfillmentTypes,rating,seoUrl,publishedState
delete,Stationary,Standard,CSVSTD_001,,A4 Ruled Notebook,en-US,TRUE,50,45,USD,2,3,23,TRUE,AllowBackOrder,,,20,1,1,1,1,in,in,in,lbs,FALSE,TRUE,DirectShip|InStorePickup,4.2,a4-ruled-notebook,Live
delete,Stationary,Standard,CSVSTD_002,,A5 Spiral Notebook,en-US,TRUE,48,42,USD,2,3,23,TRUE,AllowBackOrder,,,19,1,1,1,1,in,in,in,lbs,FALSE,TRUE,DirectShip|InStorePickup,4.1,a5-spiral-notebook,Live
delete,Stationary,Standard,CSVSTD_003,,Hardcover Journal,en-US,TRUE,60,55,USD,2,3,23,TRUE,AllowBackOrder,,,25,1,1,1,1,in,in,in,lbs,FALSE,TRUE,DirectShip|InStorePickup,4.4,hardcover-journal,Live
delete,Stationary,Standard,CSVSTD_004,,College Ruled Notebook,en-US,TRUE,45,40,USD,2,3,23,TRUE,AllowBackOrder,,,18,1,1,1,1,in,in,in,lbs,FALSE,TRUE,DirectShip|InStorePickup,4,college-ruled-notebook,Live
delete,Stationary,Standard,CSVSTD_005,,Executive Notebook,en-US,TRUE,75,65,USD,2,3,23,TRUE,AllowBackOrder,,,30,1,1,1,1,in,in,in,lbs,FALSE,TRUE,DirectShip|InStorePickup,4.5,executive-notebook,Live
delete,Stationary,Standard,CSVSTD_006,,Premium Writing Pad,en-US,TRUE,55,50,USD,2,3,23,TRUE,AllowBackOrder,,,22,1,1,1,1,in,in,in,lbs,FALSE,TRUE,DirectShip|InStorePickup,4.3,premium-writing-pad,Live
delete,Stationary,Standard,CSVSTD_007,,Graph Paper Notebook,en-US,TRUE,52,46,USD,2,3,23,TRUE,AllowBackOrder,,,21,1,1,1,1,in,in,in,lbs,FALSE,TRUE,DirectShip|InStorePickup,4.2,graph-paper-notebook,Live
delete,Stationary,Standard,CSVSTD_008,,Engineering Notebook,en-US,TRUE,58,52,USD,2,3,23,TRUE,AllowBackOrder,,,24,1,1,1,1,in,in,in,lbs,FALSE,TRUE,DirectShip|InStorePickup,4.3,engineering-notebook,Live
delete,Stationary,Standard,CSVSTD_009,,Project Planner,en-US,TRUE,80,70,USD,2,3,23,TRUE,AllowBackOrder,,,35,1,1,1,1,in,in,in,lbs,FALSE,TRUE,DirectShip|InStorePickup,4.6,project-planner,Live
delete,Stationary,Standard,CSVSTD_010,,Daily Task Notebook,en-US,TRUE,62,55,USD,2,3,23,TRUE,AllowBackOrder,,,26,1,1,1,1,in,in,in,lbs,FALSE,TRUE,DirectShip|InStorePickup,4.4,daily-task-notebook,Live
delete,Stationary,Standard,CSVSTD_011,,Meeting Notes Notebook,en-US,TRUE,63,57,USD,2,3,23,TRUE,AllowBackOrder,,,27,1,1,1,1,in,in,in,lbs,FALSE,TRUE,DirectShip|InStorePickup,4.3,meeting-notes-notebook,Live
delete,Stationary,Standard,CSVSTD_012,,Student Study Notebook,en-US,TRUE,49,44,USD,2,3,23,TRUE,AllowBackOrder,,,20,1,1,1,1,in,in,in,lbs,FALSE,TRUE,DirectShip|InStorePickup,4.1,student-study-notebook,Live
delete,Stationary,Standard,CSVSTD_013,,Composition Notebook,en-US,TRUE,47,42,USD,2,3,23,TRUE,AllowBackOrder,,,19,1,1,1,1,in,in,in,lbs,FALSE,TRUE,DirectShip|InStorePickup,4,composition-notebook,Live
delete,Stationary,Standard,CSVSTD_014,,Sketch Notebook,en-US,TRUE,70,65,USD,2,3,23,TRUE,AllowBackOrder,,,28,1,1,1,1,in,in,in,lbs,FALSE,TRUE,DirectShip|InStorePickup,4.5,sketch-notebook,Live
